type,dist,longitude,latitude
A2,北區,120.930781,24.842361
A2,東區,120.978766,24.794797
A2,北區,120.9342,24.842363
A2,東區,120.981164,24.814503
A2,東區,120.972067,24.807812
A2,香山區,120.94955,24.798497
A2,北區,120.955328,24.823711
A2,東區,120.972624,24.795106
A2,北區,120.935065,24.843512
A2,東區,121.026202,24.772922
A2,北區,120.942703,24.838021
A2,東區,121.021076,24.777597
A2,東區,121.020612,24.78245
A2,香山區,120.928405,24.787326
A2,北區,120.96788,24.809642
A2,北區,120.978685,24.823528
A2,北區,120.958115,24.800225
A2,東區,120.976655,24.814041
A2,東區,120.973741,24.793623
A2,香山區,120.947161,24.794434
A2,東區,120.974927,24.808198
A2,北區,120.994149,24.817403
A2,香山區,120.941839,24.798081
A2,東區,121.012955,24.792752
A2,香山區,120.929085,24.777568
A2,北區,120.928701,24.845105
A2,香山區,120.926922,24.821309
A2,東區,121.021761,24.776348
A2,東區,120.968103,24.799847
A2,北區,120.962574,24.810771
A2,北區,120.958176,24.807809
A2,香山區,120.917403,24.820613
A2,東區,120.973327,24.792653
A2,北區,120.958356,24.80242
A2,北區,120.964272,24.797338
A2,東區,121.016466,24.774786
A2,東區,120.976903,24.808741
A2,東區,121.014532,24.766333
A2,東區,121.026603,24.77552
A2,東區,120.978347,24.808359
A2,香山區,120.944806,24.797887
A2,香山區,120.926309,24.790915
A2,北區,120.969116,24.816549
A2,東區,120.980551,24.795644
A2,東區,120.974263,24.814297
A2,北區,120.967366,24.813676
A2,東區,120.981313,24.800002
A2,東區,120.998539,24.802763
A2,東區,120.979463,24.807036
A2,東區,120.985188,24.800063
A2,東區,120.971012,24.797705
A2,北區,120.961339,24.809983
A2,東區,120.966684,24.800562
A2,東區,120.98833,24.78605
A2,香山區,120.921123,24.806283
A2,東區,120.979332,24.811151
A2,北區,120.966017,24.820329
A2,東區,120.979053,24.795162
A2,香山區,120.929938,24.789086
A2,香山區,120.974856,24.789232
A2,東區,120.998603,24.782667
A2,北區,120.967116,24.81385
A2,東區,121.009566,24.787575
A2,北區,120.954856,24.811079
A2,東區,120.993615,24.816088
A2,東區,120.968763,24.797018
A2,北區,120.955789,24.806292
A2,北區,120.968154,24.807064
A2,東區,121.01924,24.778533
A2,東區,120.973272,24.808451
A2,香山區,120.949976,24.796377
A2,北區,120.961154,24.805217
A2,東區,120.975602,24.806874
A2,東區,120.974181,24.815
A2,北區,120.967302,24.806517
A2,香山區,120.953884,24.800603
A2,東區,120.976078,24.813971
A2,北區,120.956674,24.806803
A2,北區,120.959153,24.809582
A2,東區,120.966249,24.798737
A2,香山區,120.944813,24.796478
A2,東區,120.99581,24.797648
A2,北區,120.957091,24.804236
A2,東區,120.984937,24.80579
A2,東區,120.98497,24.804492
A2,北區,120.947951,24.805034
A2,東區,120.991696,24.803692
A2,北區,120.963534,24.793691
A2,北區,120.961134,24.8077
A2,北區,120.961701,24.805671
A2,北區,120.959086,24.821935
A2,北區,120.961971,24.806831
A2,東區,121.013388,24.798338
A2,香山區,120.942376,24.792432
A2,東區,120.997448,24.799707
A2,東區,121.022836,24.785909
A2,東區,120.979354,24.814989
A2,北區,120.969478,24.813359
A2,北區,120.957676,24.810619
A2,香山區,120.940103,24.79168
A2,香山區,120.955188,24.79842
A2,東區,120.979463,24.807036
A2,東區,120.98224,24.804769
A2,東區,120.946362,24.792345
A2,東區,121.005627,24.771254
A2,東區,120.96786,24.799717
A2,東區,121.017157,24.791991
A2,北區,120.930891,24.839405
A2,東區,121.010281,24.786946
A2,北區,120.97048,24.818068
A2,北區,120.961378,24.801929
A2,東區,120.97352,24.799939
A2,東區,120.968501,24.790707
A2,北區,120.957907,24.796808
A2,東區,121.019574,24.778357
A2,東區,120.985665,24.810817
A2,東區,120.99426,24.800464
A2,北區,120.965617,24.812616
A2,東區,120.99401,24.806027
A2,東區,120.984517,24.805229
A2,東區,121.006338,24.780631
A2,北區,120.946267,24.833282
A2,東區,120.982349,24.799914
A2,北區,120.956537,24.811221
A2,北區,120.946884,24.83315
A2,東區,120.978195,24.808841
A2,北區,120.955515,24.809018
